# x	Analytical	Spline
1.570000	-0.720970	-0.721070
1.571500	-0.722327	-0.722423
1.573000	-0.723679	-0.723772
1.574500	-0.725028	-0.725117
1.576000	-0.726373	-0.726457
1.577500	-0.727713	-0.727794
1.579000	-0.729050	-0.729126
1.580500	-0.730382	-0.730454
1.582000	-0.731711	-0.731778
1.583500	-0.733035	-0.733098
1.585000	-0.734356	-0.734413
1.586500	-0.735672	-0.735725
1.588000	-0.736984	-0.737032
1.589500	-0.738292	-0.738334
1.591000	-0.739596	-0.739633
1.592500	-0.740896	-0.740927
1.594000	-0.742192	-0.742217
1.595500	-0.743483	-0.743502
1.597000	-0.744771	-0.744784
1.598500	-0.746054	-0.746061
1.600000	-0.747333	-0.747333
1.601500	-0.748608	-0.748602
1.603000	-0.749879	-0.749866
1.604500	-0.751146	-0.751125
1.606000	-0.752409	-0.752381
1.607500	-0.753667	-0.753632
1.609000	-0.754921	-0.754878
1.610500	-0.756171	-0.756120
1.612000	-0.757417	-0.757358
1.613500	-0.758659	-0.758592
1.615000	-0.759896	-0.759821
1.616500	-0.761129	-0.761046
1.618000	-0.762358	-0.762266
1.619500	-0.763583	-0.763482
1.621000	-0.764803	-0.764694
1.622500	-0.766019	-0.765901
1.624000	-0.767231	-0.767104
1.625500	-0.768439	-0.768303
1.627000	-0.769642	-0.769497
1.628500	-0.770842	-0.770687
1.630000	-0.772036	-0.771873
1.631500	-0.773227	-0.773054
1.633000	-0.774413	-0.774231
1.634500	-0.775595	-0.775403
1.636000	-0.776773	-0.776571
1.637500	-0.777946	-0.777734
1.639000	-0.779115	-0.778894
1.640500	-0.780280	-0.780048
1.642000	-0.781440	-0.781199
1.643500	-0.782596	-0.782345
1.645000	-0.783748	-0.783486
1.646500	-0.784895	-0.784624
1.648000	-0.786038	-0.785756
1.649500	-0.787177	-0.786885
1.651000	-0.788311	-0.788009
1.652500	-0.789441	-0.789128
1.654000	-0.790566	-0.790244
1.655500	-0.791687	-0.791354
1.657000	-0.792804	-0.792461
1.658500	-0.793916	-0.793563
1.660000	-0.795024	-0.794660
1.661500	-0.796127	-0.795753
1.663000	-0.797226	-0.796842
1.664500	-0.798321	-0.797926
1.666000	-0.799411	-0.799006
1.667500	-0.800497	-0.800081
1.669000	-0.801578	-0.801152
1.670500	-0.802655	-0.802219
1.672000	-0.803727	-0.803281
1.673500	-0.804795	-0.804339
1.675000	-0.805858	-0.805392
1.676500	-0.806917	-0.806441
1.678000	-0.807971	-0.807485
1.679500	-0.809021	-0.808525
1.681000	-0.810067	-0.809560
1.682500	-0.811108	-0.810591
1.684000	-0.812144	-0.811618
1.685500	-0.813176	-0.812640
1.687000	-0.814203	-0.813657
1.688500	-0.815226	-0.814671
1.690000	-0.816245	-0.815679
1.691500	-0.817259	-0.816684
1.693000	-0.818268	-0.817683
1.694500	-0.819273	-0.818679
1.696000	-0.820273	-0.819669
1.697500	-0.821268	-0.820656
1.699000	-0.822259	-0.821638
1.700500	-0.823246	-0.822615
1.702000	-0.824228	-0.823588
1.703500	-0.825205	-0.824556
1.705000	-0.826178	-0.825520
1.706500	-0.827146	-0.826480
1.708000	-0.828110	-0.827435
1.709500	-0.829068	-0.828385
1.711000	-0.830023	-0.829331
1.712500	-0.830973	-0.830273
1.714000	-0.831918	-0.831210
1.715500	-0.832858	-0.832143
1.717000	-0.833794	-0.833071
1.718500	-0.834725	-0.833994
1.720000	-0.835652	-0.834913
1.721500	-0.836574	-0.835828
1.723000	-0.837491	-0.836738
1.724500	-0.838404	-0.837643
1.726000	-0.839312	-0.838544
1.727500	-0.840215	-0.839441
1.729000	-0.841114	-0.840333
1.730500	-0.842008	-0.841220
1.732000	-0.842897	-0.842103
1.733500	-0.843782	-0.842981
1.735000	-0.844662	-0.843855
1.736500	-0.845537	-0.844725
1.738000	-0.846407	-0.845590
1.739500	-0.847273	-0.846450
1.741000	-0.848134	-0.847306
1.742500	-0.848991	-0.848157
1.744000	-0.849843	-0.849004
1.745500	-0.850690	-0.849846
1.747000	-0.851532	-0.850683
1.748500	-0.852369	-0.851516
1.750000	-0.853202	-0.852345
1.751500	-0.854030	-0.853169
1.753000	-0.854854	-0.853988
1.754500	-0.855672	-0.854803
1.756000	-0.856486	-0.855614
1.757500	-0.857295	-0.856419
1.759000	-0.858099	-0.857221
1.760500	-0.858899	-0.858017
1.762000	-0.859694	-0.858809
1.763500	-0.860483	-0.859597
1.765000	-0.861269	-0.860380
1.766500	-0.862049	-0.861158
1.768000	-0.862825	-0.861932
1.769500	-0.863596	-0.862701
1.771000	-0.864362	-0.863466
1.772500	-0.865123	-0.864226
1.774000	-0.865879	-0.864982
1.775500	-0.866631	-0.865732
1.777000	-0.867378	-0.866479
1.778500	-0.868120	-0.867221
1.780000	-0.868857	-0.867958
1.781500	-0.869589	-0.868690
1.783000	-0.870316	-0.869418
1.784500	-0.871039	-0.870142
1.786000	-0.871757	-0.870861
1.787500	-0.872470	-0.871575
1.789000	-0.873178	-0.872284
1.790500	-0.873881	-0.872990
1.792000	-0.874580	-0.873690
1.793500	-0.875273	-0.874386
1.795000	-0.875962	-0.875077
1.796500	-0.876646	-0.875764
1.798000	-0.877325	-0.876446
1.799500	-0.877999	-0.877123
1.801000	-0.878668	-0.877796
1.802500	-0.879332	-0.878464
1.804000	-0.879992	-0.879127
1.805500	-0.880646	-0.879786
1.807000	-0.881296	-0.880440
1.808500	-0.881941	-0.881090
1.810000	-0.882581	-0.881735
1.811500	-0.883215	-0.882375
1.813000	-0.883845	-0.883011
1.814500	-0.884471	-0.883642
1.816000	-0.885091	-0.884269
1.817500	-0.885706	-0.884891
1.819000	-0.886317	-0.885508
1.820500	-0.886922	-0.886120
1.822000	-0.887522	-0.886728
1.823500	-0.888118	-0.887331
1.825000	-0.888709	-0.887930
1.826500	-0.889294	-0.888524
1.828000	-0.889875	-0.889113
1.829500	-0.890451	-0.889698
1.831000	-0.891022	-0.890278
1.832500	-0.891588	-0.890853
1.834000	-0.892149	-0.891424
1.835500	-0.892705	-0.891990
1.837000	-0.893256	-0.892551
1.838500	-0.893802	-0.893108
1.840000	-0.894343	-0.893660
1.841500	-0.894879	-0.894207
1.843000	-0.895411	-0.894750
1.844500	-0.895937	-0.895288
1.846000	-0.896458	-0.895821
1.847500	-0.896974	-0.896350
1.849000	-0.897486	-0.896874
1.850500	-0.897992	-0.897393
1.852000	-0.898493	-0.897907
1.853500	-0.898989	-0.898417
1.855000	-0.899481	-0.898922
1.856500	-0.899967	-0.899423
1.858000	-0.900448	-0.899919
1.859500	-0.900925	-0.900410
1.861000	-0.901396	-0.900896
1.862500	-0.901862	-0.901378
1.864000	-0.902324	-0.901855
1.865500	-0.902780	-0.902327
1.867000	-0.903231	-0.902795
1.868500	-0.903677	-0.903257
1.870000	-0.904119	-0.903716
1.871500	-0.904555	-0.904169
1.873000	-0.904986	-0.904618
1.874500	-0.905412	-0.905062
1.876000	-0.905833	-0.905501
1.877500	-0.906249	-0.905935
1.879000	-0.906660	-0.906365
1.880500	-0.907066	-0.906790
1.882000	-0.907467	-0.907211
1.883500	-0.907863	-0.907626
1.885000	-0.908254	-0.908037
1.886500	-0.908640	-0.908443
1.888000	-0.909021	-0.908845
1.889500	-0.909397	-0.909241
1.891000	-0.909767	-0.909633
1.892500	-0.910133	-0.910020
1.894000	-0.910493	-0.910403
1.895500	-0.910849	-0.910781
1.897000	-0.911199	-0.911154
1.898500	-0.911545	-0.911522
1.900000	-0.911885	-0.911885
1.901500	-0.912220	-0.912244
1.903000	-0.912551	-0.912598
1.904500	-0.912876	-0.912947
1.906000	-0.913196	-0.913291
1.907500	-0.913511	-0.913631
1.909000	-0.913821	-0.913965
1.910500	-0.914125	-0.914295
1.912000	-0.914425	-0.914621
1.913500	-0.914720	-0.914941
1.915000	-0.915009	-0.915256
1.916500	-0.915294	-0.915567
1.918000	-0.915573	-0.915873
1.919500	-0.915848	-0.916174
1.921000	-0.916117	-0.916470
1.922500	-0.916381	-0.916761
1.924000	-0.916640	-0.917047
1.925500	-0.916894	-0.917329
1.927000	-0.917143	-0.917605
1.928500	-0.917387	-0.917877
1.930000	-0.917625	-0.918143
1.931500	-0.917859	-0.918405
1.933000	-0.918087	-0.918662
1.934500	-0.918311	-0.918914
1.936000	-0.918529	-0.919161
1.937500	-0.918742	-0.919402
1.939000	-0.918950	-0.919639
1.940500	-0.919153	-0.919871
1.942000	-0.919351	-0.920098
1.943500	-0.919544	-0.920320
1.945000	-0.919731	-0.920537
1.946500	-0.919914	-0.920749
1.948000	-0.920091	-0.920956
1.949500	-0.920264	-0.921158
1.951000	-0.920431	-0.921355
1.952500	-0.920593	-0.921547
1.954000	-0.920750	-0.921734
1.955500	-0.920902	-0.921915
1.957000	-0.921048	-0.922092
1.958500	-0.921190	-0.922263
1.960000	-0.921327	-0.922430
1.961500	-0.921458	-0.922591
1.963000	-0.921584	-0.922747
1.964500	-0.921705	-0.922899
1.966000	-0.921821	-0.923045
1.967500	-0.921932	-0.923185
1.969000	-0.922038	-0.923321
1.970500	-0.922139	-0.923452
1.972000	-0.922234	-0.923577
1.973500	-0.922325	-0.923697
1.975000	-0.922410	-0.923812
1.976500	-0.922490	-0.923922
1.978000	-0.922565	-0.924027
1.979500	-0.922635	-0.924126
1.981000	-0.922700	-0.924221
1.982500	-0.922759	-0.924310
1.984000	-0.922814	-0.924394
1.985500	-0.922863	-0.924472
1.987000	-0.922907	-0.924545
1.988500	-0.922947	-0.924613
1.990000	-0.922981	-0.924676
1.991500	-0.923009	-0.924734
1.993000	-0.923033	-0.924786
1.994500	-0.923052	-0.924833
1.996000	-0.923065	-0.924875
1.997500	-0.923074	-0.924911
1.999000	-0.923077	-0.924942
2.000500	-0.923075	-0.924968
2.002000	-0.923068	-0.924988
2.003500	-0.923056	-0.925003
2.005000	-0.923039	-0.925013
2.006500	-0.923016	-0.925017
2.008000	-0.922989	-0.925016
2.009500	-0.922956	-0.925010
2.011000	-0.922918	-0.924998
2.012500	-0.922875	-0.924981
2.014000	-0.922827	-0.924958
2.015500	-0.922774	-0.924930
2.017000	-0.922716	-0.924897
2.018500	-0.922652	-0.924858
2.020000	-0.922584	-0.924814
2.021500	-0.922510	-0.924764
2.023000	-0.922431	-0.924709
2.024500	-0.922347	-0.924648
2.026000	-0.922258	-0.924582
2.027500	-0.922164	-0.924510
2.029000	-0.922065	-0.924433
2.030500	-0.921960	-0.924351
2.032000	-0.921851	-0.924263
2.033500	-0.921736	-0.924169
2.035000	-0.921616	-0.924070
2.036500	-0.921491	-0.923965
2.038000	-0.921361	-0.923855
2.039500	-0.921226	-0.923740
2.041000	-0.921086	-0.923618
2.042500	-0.920940	-0.923491
2.044000	-0.920790	-0.923359
2.045500	-0.920634	-0.923221
2.047000	-0.920474	-0.923077
2.048500	-0.920308	-0.922928
2.050000	-0.920137	-0.922773
2.051500	-0.919961	-0.922613
2.053000	-0.919779	-0.922447
2.054500	-0.919593	-0.922275
2.056000	-0.919402	-0.922098
2.057500	-0.919205	-0.921915
2.059000	-0.919004	-0.921726
2.060500	-0.918797	-0.921532
2.062000	-0.918585	-0.921332
2.063500	-0.918368	-0.921126
2.065000	-0.918146	-0.920915
2.066500	-0.917919	-0.920698
2.068000	-0.917687	-0.920475
2.069500	-0.917449	-0.920247
2.071000	-0.917207	-0.920013
2.072500	-0.916959	-0.919773
2.074000	-0.916707	-0.919527
2.075500	-0.916449	-0.919276
2.077000	-0.916186	-0.919018
2.078500	-0.915918	-0.918755
2.080000	-0.915645	-0.918487
2.081500	-0.915367	-0.918212
2.083000	-0.915084	-0.917932
2.084500	-0.914796	-0.917646
2.086000	-0.914502	-0.917354
2.087500	-0.914204	-0.917056
2.089000	-0.913900	-0.916752
2.090500	-0.913592	-0.916443
2.092000	-0.913278	-0.916128
2.093500	-0.912960	-0.915806
2.095000	-0.912636	-0.915479
2.096500	-0.912307	-0.915146
2.098000	-0.911973	-0.914808
2.099500	-0.911634	-0.914463
2.101000	-0.911290	-0.914112
2.102500	-0.910941	-0.913756
2.104000	-0.910587	-0.913394
2.105500	-0.910227	-0.913025
2.107000	-0.909863	-0.912651
2.108500	-0.909494	-0.912271
2.110000	-0.909119	-0.911885
2.111500	-0.908740	-0.911493
2.113000	-0.908355	-0.911095
2.114500	-0.907966	-0.910691
2.116000	-0.907571	-0.910280
2.117500	-0.907171	-0.909864
2.119000	-0.906767	-0.909442
2.120500	-0.906357	-0.909014
2.122000	-0.905942	-0.908580
2.123500	-0.905522	-0.908140
2.125000	-0.905097	-0.907694
2.126500	-0.904668	-0.907242
2.128000	-0.904233	-0.906784
2.129500	-0.903793	-0.906319
2.131000	-0.903348	-0.905849
2.132500	-0.902898	-0.905373
2.134000	-0.902443	-0.904890
2.135500	-0.901983	-0.904401
2.137000	-0.901518	-0.903907
2.138500	-0.901048	-0.903406
2.140000	-0.900573	-0.902899
2.141500	-0.900093	-0.902386
2.143000	-0.899608	-0.901867
2.144500	-0.899118	-0.901341
2.146000	-0.898623	-0.900810
2.147500	-0.898123	-0.900272
2.149000	-0.897618	-0.899728
2.150500	-0.897108	-0.899178
2.152000	-0.896593	-0.898622
2.153500	-0.896073	-0.898059
2.155000	-0.895548	-0.897491
2.156500	-0.895018	-0.896916
2.158000	-0.894483	-0.896335
2.159500	-0.893943	-0.895747
2.161000	-0.893399	-0.895154
2.162500	-0.892849	-0.894554
2.164000	-0.892294	-0.893948
2.165500	-0.891734	-0.893335
2.167000	-0.891170	-0.892717
2.168500	-0.890600	-0.892092
2.170000	-0.890026	-0.891460
2.171500	-0.889446	-0.890823
2.173000	-0.888862	-0.890179
2.174500	-0.888272	-0.889529
2.176000	-0.887678	-0.888872
2.177500	-0.887079	-0.888210
2.179000	-0.886475	-0.887540
2.180500	-0.885866	-0.886865
2.182000	-0.885252	-0.886183
2.183500	-0.884633	-0.885495
2.185000	-0.884009	-0.884800
2.186500	-0.883380	-0.884099
2.188000	-0.882746	-0.883392
2.189500	-0.882108	-0.882678
2.191000	-0.881464	-0.881957
2.192500	-0.880816	-0.881231
2.194000	-0.880163	-0.880498
2.195500	-0.879504	-0.879758
2.197000	-0.878841	-0.879012
2.198500	-0.878174	-0.878260
2.200000	-0.877501	-0.877501
2.201500	-0.876823	-0.876735
2.203000	-0.876140	-0.875963
2.204500	-0.875453	-0.875185
2.206000	-0.874761	-0.874401
2.207500	-0.874064	-0.873610
2.209000	-0.873362	-0.872813
2.210500	-0.872655	-0.872009
2.212000	-0.871943	-0.871200
2.213500	-0.871227	-0.870384
2.215000	-0.870505	-0.869562
2.216500	-0.869779	-0.868734
2.218000	-0.869048	-0.867901
2.219500	-0.868312	-0.867061
2.221000	-0.867571	-0.866215
2.222500	-0.866826	-0.865363
2.224000	-0.866075	-0.864506
2.225500	-0.865320	-0.863643
2.227000	-0.864560	-0.862774
2.228500	-0.863795	-0.861899
2.230000	-0.863026	-0.861018
